seed_name,seed_variety,seed_type,seed_quality,crop,season,soil_type,field_composition,soil_ph,temperature,humidity,rainfall,moisture,field_quality,field_history,state,district,recommended_crop,recommended_seed,area,production,yield
Cotton seed,Bt Cotton,HYV,Fresh,Cotton,Kharif,Black,"Deep black cotton soil, high clay content, strong moisture retention",6.4,28,70,874,84,Low,Groundnut,Rajasthan,Ajmer,Cotton,Bollgard,359,1954,3234
Bajra seed,RHB121,HYV,Old,Bajra,Kharif,Sandy,"Light sandy soil, fast drainage, low water retention",6.9,27,51,578,44,Medium,Mustard,Maharashtra,Nagpur,Bajra,HHB67,320,966,3393
Maize seed,PMH1,Desi,Old,Maize,Kharif,Sandy Loam,"Loose sandy-loam texture, porous and well-aerated",5.9,28,71,688,56,Medium,Fallow,Uttar Pradesh,Meerut,Maize,DHM117,259,1463,2379
Bajra seed,HHB67,Hybrid,Old,Bajra,Kharif,Sandy,"Light sandy soil, fast drainage, low water retention",5.7,28,55,501,30,High,Fallow,Karnataka,Raichur,Bajra,HHB67,347,1626,4809
Gram seed,Pusa372,HYV,Fresh,Gram,Rabi,Loamy,"Balanced sand-silt-clay mix, fertile and well-drained",6.7,16,43,445,38,Medium,Rice,Madhya Pradesh,Ujjain,Gram,JG16,179,1041,4935
Bajra seed,RHB121,Hybrid,Fresh,Bajra,Kharif,Sandy,"Light sandy soil, fast drainage, low water retention",6.9,31,55,316,73,Medium,Mustard,West Bengal,Bardhaman,Bajra,RHB121,440,105,3423
Rice seed,BPT5204,Desi,Old,Rice,Kharif,Clayey,"Fine clay particles, high water retention, puddled/wetland structure",6.8,28,74,1074,69,Low,Fallow,Madhya Pradesh,Ujjain,Rice,Swarna,256,580,4076
Gram seed,JG16,Desi,Fresh,Gram,Rabi,Loamy,"Balanced sand-silt-clay mix, fertile and well-drained",6.7,18,56,311,51,High,Fallow,Karnataka,Belagavi,Gram,Pusa372,284,1374,4651
Gram seed,JG16,HYV,Fresh,Gram,Rabi,Loamy,"Balanced sand-silt-clay mix, fertile and well-drained",6.4,18,48,387,49,Medium,Fallow,Bihar,Patna,Gram,JG11,64,1796,1721
Bajra seed,RHB121,HYV,Fresh,Bajra,Kharif,Sandy,"Light sandy soil, fast drainage, low water retention",6.4,30,46,321,59,Low,Fallow,Maharashtra,Nagpur,Bajra,HHB67,413,466,2783
Bajra seed,HHB67,HYV,Old,Bajra,Kharif,Sandy,"Light sandy soil, fast drainage, low water retention",6.0,28,53,523,59,Medium,Mustard,West Bengal,Kolkata,Bajra,RHB121,222,1942,4320
Cotton seed,RCH2,HYV,Fresh,Cotton,Kharif,Black,"Deep black cotton soil, high clay content, strong moisture retention",7.7,30,60,778,50,Medium,Fallow,Madhya Pradesh,Ujjain,Cotton,Bt Cotton,126,726,3124
Mustard seed,RH30,Hybrid,Fresh,Mustard,Rabi,Alluvial,River-deposited fertile alluvium with good organic matter,6.8,15,56,364,38,Low,Wheat,Punjab,Bathinda,Mustard,Varuna,194,308,2090
Wheat seed,Lok1,Desi,Old,Wheat,Rabi,Loamy,"Balanced sand-silt-clay mix, fertile and well-drained",6.6,19,68,402,33,Low,Rice,Telangana,Nizamabad,Wheat,HD3086,485,1662,4732
Maize seed,DHM117,Desi,Old,Maize,Kharif,Sandy Loam,"Loose sandy-loam texture, porous and well-aerated",6.0,20,65,623,53,Low,Wheat,Gujarat,Ahmedabad,Maize,DHM117,140,1881,3969
Mustard seed,Pusa Bold,Desi,Fresh,Mustard,Rabi,Alluvial,River-deposited fertile alluvium with good organic matter,7.1,21,38,420,65,Low,Fallow,Karnataka,Mysuru,Mustard,Pusa Bold,411,1378,4531
Gram seed,Pusa372,Desi,Old,Gram,Rabi,Loamy,"Balanced sand-silt-clay mix, fertile and well-drained",6.0,15,57,464,60,Medium,Rice,Punjab,Bathinda,Gram,JG16,347,365,3441
Maize seed,Ganga5,HYV,Fresh,Maize,Kharif,Sandy Loam,"Loose sandy-loam texture, porous and well-aerated",6.2,25,54,762,71,Medium,Fallow,Maharashtra,Nashik,Maize,PMH1,362,1492,2264
Rice seed,IR64,HYV,Fresh,Rice,Kharif,Clayey,"Fine clay particles, high water retention, puddled/wetland structure",5.6,30,81,910,80,Low,Fallow,Punjab,Bathinda,Rice,MTU7029,257,1718,3319
Cotton seed,Bt Cotton,Hybrid,Old,Cotton,Kharif,Black,"Deep black cotton soil, high clay content, strong moisture retention",6.3,32,67,606,73,Medium,Soybean,Tamil Nadu,Thanjavur,Cotton,Bollgard,50,601,2236
Rice seed,IR64,Desi,Fresh,Rice,Kharif,Clayey,"Fine clay particles, high water retention, puddled/wetland structure",6.7,27,73,1153,64,Medium,Wheat,Bihar,Muzaffarpur,Rice,IR64,151,683,2449
Cotton seed,RCH2,Hybrid,Fresh,Cotton,Kharif,Black,"Deep black cotton soil, high clay content, strong moisture retention",7.6,30,63,873,84,Low,Fallow,Bihar,Patna,Cotton,Bollgard,475,1502,4975
Mustard seed,Varuna,HYV,Fresh,Mustard,Rabi,Alluvial,River-deposited fertile alluvium with good organic matter,6.1,24,43,421,69,High,Fallow,Punjab,Bathinda,Mustard,Pusa Bold,387,1415,4508
Bajra seed,ICTP8203,HYV,Fresh,Bajra,Kharif,Sandy,"Light sandy soil, fast drainage, low water retention",6.6,31,40,509,77,High,Mustard,Haryana,Rohtak,Bajra,RHB121,328,1228,4008
Maize seed,HQPM1,Hybrid,Fresh,Maize,Kharif,Sandy Loam,"Loose sandy-loam texture, porous and well-aerated",6.6,30,70,506,74,Low,Wheat,Uttar Pradesh,Varanasi,Maize,DHM117,226,1824,2011
Maize seed,HQPM1,Desi,Fresh,Maize,Kharif,Sandy Loam,"Loose sandy-loam texture, porous and well-aerated",6.7,22,57,788,61,Medium,Fallow,Punjab,Patiala,Maize,Ganga5,397,1956,4671
Bajra seed,ICTP8203,Hybrid,Old,Bajra,Kharif,Sandy,"Light sandy soil, fast drainage, low water retention",6.9,27,36,499,82,Low,Mustard,Odisha,Puri,Bajra,ICTP8203,124,1622,3378
Soybean seed,NRC37,HYV,Old,Soybean,Kharif,Black,"Deep black cotton soil, high clay content, strong moisture retention",6.8,26,58,694,39,Medium,Fallow,Uttar Pradesh,Varanasi,Soybean,NRC37,231,1202,3734
Gram seed,JG16,Desi,Fresh,Gram,Rabi,Loamy,"Balanced sand-silt-clay mix, fertile and well-drained",6.0,23,37,471,68,Low,Fallow,Telangana,Nizamabad,Gram,JG11,316,208,2231
Gram seed,JG11,HYV,Old,Gram,Rabi,Loamy,"Balanced sand-silt-clay mix, fertile and well-drained",6.3,23,35,409,65,High,Soybean,Odisha,Balasore,Gram,Pusa372,183,1023,3655
Maize seed,Ganga5,Hybrid,Fresh,Maize,Kharif,Sandy Loam,"Loose sandy-loam texture, porous and well-aerated",6.7,30,54,674,83,Low,Rice,Chhattisgarh,Durg,Maize,HQPM1,69,1621,4537
Gram seed,JG16,HYV,Old,Gram,Rabi,Loamy,"Balanced sand-silt-clay mix, fertile and well-drained",6.8,16,43,465,49,High,Rice,Punjab,Amritsar,Gram,JG11,145,628,2211
Rice seed,BPT5204,Desi,Old,Rice,Kharif,Clayey,"Fine clay particles, high water retention, puddled/wetland structure",6.1,26,79,974,33,Medium,Wheat,Madhya Pradesh,Bhopal,Rice,MTU7029,259,631,4472
Maize seed,Ganga5,Desi,Old,Maize,Kharif,Sandy Loam,"Loose sandy-loam texture, porous and well-aerated",6.8,28,62,597,52,High,Rice,Uttar Pradesh,Lucknow,Maize,DHM117,217,268,2817
Mustard seed,Pusa Bold,Desi,Fresh,Mustard,Rabi,Alluvial,River-deposited fertile alluvium with good organic matter,7.3,22,51,454,35,Low,Wheat,Madhya Pradesh,Indore,Mustard,RH30,212,1377,4994
Cotton seed,Bollgard,Hybrid,Old,Cotton,Kharif,Black,"Deep black cotton soil, high clay content, strong moisture retention",7.7,24,46,844,29,High,Groundnut,Madhya Pradesh,Jabalpur,Cotton,RCH2,475,1793,4697
Rice seed,IR64,HYV,Old,Rice,Kharif,Clayey,"Fine clay particles, high water retention, puddled/wetland structure",5.9,32,87,1321,76,Medium,Fallow,Odisha,Cuttack,Rice,IR64,274,855,3044
Mustard seed,Pusa Bold,Desi,Fresh,Mustard,Rabi,Alluvial,River-deposited fertile alluvium with good organic matter,6.4,15,56,477,36,Low,Bajra,Karnataka,Mysuru,Mustard,RH30,226,1954,4644
Wheat seed,HD3086,HYV,Old,Wheat,Rabi,Loamy,"Balanced sand-silt-clay mix, fertile and well-drained",6.5,19,67,433,29,High,Maize,Rajasthan,Jaipur,Wheat,HD3086,497,1674,4044
Cotton seed,RCH2,HYV,Old,Cotton,Kharif,Black,"Deep black cotton soil, high clay content, strong moisture retention",6.2,22,51,720,79,Low,Fallow,West Bengal,Bardhaman,Cotton,Bollgard,175,851,4894
Mustard seed,RH30,Hybrid,Old,Mustard,Rabi,Alluvial,River-deposited fertile alluvium with good organic matter,6.6,24,38,444,47,High,Fallow,Odisha,Balasore,Mustard,Varuna,118,1344,2526
Gram seed,Pusa372,HYV,Old,Gram,Rabi,Loamy,"Balanced sand-silt-clay mix, fertile and well-drained",7.2,16,35,418,75,Medium,Soybean,Odisha,Puri,Gram,JG16,478,697,4124
Maize seed,Ganga5,Hybrid,Old,Maize,Kharif,Sandy Loam,"Loose sandy-loam texture, porous and well-aerated",6.4,25,75,512,27,Medium,Rice,Karnataka,Mysuru,Maize,HQPM1,144,1233,2091
Mustard seed,Pusa Bold,HYV,Old,Mustard,Rabi,Alluvial,River-deposited fertile alluvium with good organic matter,6.4,10,54,308,40,High,Wheat,Haryana,Karnal,Mustard,Pusa Bold,307,791,2870
Wheat seed,Lok1,HYV,Fresh,Wheat,Rabi,Loamy,"Balanced sand-silt-clay mix, fertile and well-drained",6.0,23,62,416,83,High,Rice,Tamil Nadu,Chennai,Wheat,HD3086,391,1420,1920
Bajra seed,ICTP8203,HYV,Old,Bajra,Kharif,Sandy,"Light sandy soil, fast drainage, low water retention",6.5,26,45,594,81,High,Gram,Madhya Pradesh,Indore,Bajra,HHB67,431,455,1852
Maize seed,DHM117,Desi,Old,Maize,Kharif,Sandy Loam,"Loose sandy-loam texture, porous and well-aerated",5.9,20,53,616,73,Medium,Fallow,Maharashtra,Nashik,Maize,Ganga5,292,1694,4963
Wheat seed,HD2967,Hybrid,Old,Wheat,Rabi,Loamy,"Balanced sand-silt-clay mix, fertile and well-drained",6.1,23,63,542,26,Low,Rice,Gujarat,Rajkot,Wheat,Lok1,235,1603,2479
Maize seed,Ganga5,Hybrid,Old,Maize,Kharif,Sandy Loam,"Loose sandy-loam texture, porous and well-aerated",6.0,24,68,578,32,High,Fallow,Maharashtra,Akola,Maize,DHM117,97,334,3419
Soybean seed,JS335,HYV,Old,Soybean,Kharif,Black,"Deep black cotton soil, high clay content, strong moisture retention",6.1,30,64,645,49,Medium,Fallow,West Bengal,Murshidabad,Soybean,JS9560,434,1462,4054
Wheat seed,HD2967,Desi,Fresh,Wheat,Rabi,Loamy,"Balanced sand-silt-clay mix, fertile and well-drained",6.1,17,69,450,56,Medium,Soybean,Telangana,Karimnagar,Wheat,HD3086,226,691,4751
Wheat seed,HD2967,Hybrid,Old,Wheat,Rabi,Loamy,"Balanced sand-silt-clay mix, fertile and well-drained",7.5,16,53,639,45,Low,Maize,Chhattisgarh,Rajnandgaon,Wheat,Lok1,229,952,2649
Soybean seed,JS9560,Hybrid,Fresh,Soybean,Kharif,Black,"Deep black cotton soil, high clay content, strong moisture retention",7.1,24,68,874,51,Low,Cotton,Uttar Pradesh,Meerut,Soybean,NRC37,391,144,4766
Bajra seed,ICTP8203,Hybrid,Fresh,Bajra,Kharif,Sandy,"Light sandy soil, fast drainage, low water retention",6.6,29,54,409,27,Medium,Fallow,Bihar,Muzaffarpur,Bajra,RHB121,462,971,2234
Bajra seed,RHB121,Hybrid,Old,Bajra,Kharif,Sandy,"Light sandy soil, fast drainage, low water retention",6.8,35,46,471,54,High,Fallow,Tamil Nadu,Chennai,Bajra,RHB121,251,669,2868
Rice seed,Swarna,Hybrid,Fresh,Rice,Kharif,Clayey,"Fine clay particles, high water retention, puddled/wetland structure",6.6,29,83,1033,54,Low,Wheat,Rajasthan,Ajmer,Rice,MTU7029,333,433,2680
Soybean seed,NRC37,Hybrid,Old,Soybean,Kharif,Black,"Deep black cotton soil, high clay content, strong moisture retention",6.5,30,58,538,77,High,Wheat,Chhattisgarh,Durg,Soybean,JS335,128,1547,4763
Bajra seed,RHB121,HYV,Fresh,Bajra,Kharif,Sandy,"Light sandy soil, fast drainage, low water retention",6.0,30,48,535,29,Low,Mustard,Andhra Pradesh,Kurnool,Bajra,HHB67,396,1108,2684
Gram seed,JG16,HYV,Fresh,Gram,Rabi,Loamy,"Balanced sand-silt-clay mix, fertile and well-drained",6.1,25,60,450,33,Low,Rice,Odisha,Balasore,Gram,Pusa372,144,620,4216
Soybean seed,JS335,HYV,Old,Soybean,Kharif,Black,"Deep black cotton soil, high clay content, strong moisture retention",6.1,30,59,746,76,Low,Cotton,Chhattisgarh,Bilaspur,Soybean,NRC37,177,514,3304
Wheat seed,HD2967,Hybrid,Old,Wheat,Rabi,Loamy,"Balanced sand-silt-clay mix, fertile and well-drained",6.8,18,58,485,73,High,Maize,West Bengal,Malda,Wheat,Lok1,320,1317,3685
Rice seed,BPT5204,Desi,Old,Rice,Kharif,Clayey,"Fine clay particles, high water retention, puddled/wetland structure",6.2,27,71,1316,67,Medium,Pulses,West Bengal,Kolkata,Rice,BPT5204,403,218,4840
Wheat seed,HD3086,Hybrid,Old,Wheat,Rabi,Loamy,"Balanced sand-silt-clay mix, fertile and well-drained",7.4,24,69,477,34,High,Rice,Uttar Pradesh,Meerut,Wheat,HD2967,362,1298,2040
Cotton seed,Bollgard,Hybrid,Fresh,Cotton,Kharif,Black,"Deep black cotton soil, high clay content, strong moisture retention",7.2,30,57,830,43,High,Soybean,Punjab,Ludhiana,Cotton,Bollgard,459,159,2191
Rice seed,MTU7029,Hybrid,Old,Rice,Kharif,Clayey,"Fine clay particles, high water retention, puddled/wetland structure",6.7,29,86,999,26,Low,Fallow,Karnataka,Raichur,Rice,MTU7029,147,1441,2431
Rice seed,IR64,HYV,Fresh,Rice,Kharif,Clayey,"Fine clay particles, high water retention, puddled/wetland structure",6.7,24,71,1096,67,Medium,Pulses,Andhra Pradesh,Kurnool,Rice,BPT5204,436,1985,3168
Maize seed,HQPM1,HYV,Fresh,Maize,Kharif,Sandy Loam,"Loose sandy-loam texture, porous and well-aerated",6.8,22,54,552,65,High,Wheat,Madhya Pradesh,Ujjain,Maize,HQPM1,208,864,2154
Cotton seed,Bollgard,Hybrid,Old,Cotton,Kharif,Black,"Deep black cotton soil, high clay content, strong moisture retention",7.5,32,48,619,52,Low,Soybean,Andhra Pradesh,Guntur,Cotton,RCH2,375,1482,3225
Cotton seed,Bunny Bt,HYV,Old,Cotton,Kharif,Black,"Deep black cotton soil, high clay content, strong moisture retention",7.6,23,60,752,50,Medium,Fallow,Odisha,Balasore,Cotton,Bollgard,85,1359,2524
Rice seed,Swarna,HYV,Fresh,Rice,Kharif,Clayey,"Fine clay particles, high water retention, puddled/wetland structure",6.8,32,88,1284,76,High,Wheat,Tamil Nadu,Coimbatore,Rice,BPT5204,190,717,2957
Cotton seed,Bunny Bt,HYV,Fresh,Cotton,Kharif,Black,"Deep black cotton soil, high clay content, strong moisture retention",7.5,27,57,826,40,High,Soybean,Madhya Pradesh,Indore,Cotton,RCH2,98,945,4225
Soybean seed,NRC37,Hybrid,Fresh,Soybean,Kharif,Black,"Deep black cotton soil, high clay content, strong moisture retention",6.8,27,57,564,80,High,Wheat,Bihar,Patna,Soybean,JS335,344,1929,2084
Rice seed,IR64,Desi,Old,Rice,Kharif,Clayey,"Fine clay particles, high water retention, puddled/wetland structure",6.1,30,70,942,81,High,Wheat,Maharashtra,Akola,Rice,IR64,117,481,3510
Wheat seed,PBW343,Desi,Old,Wheat,Rabi,Loamy,"Balanced sand-silt-clay mix, fertile and well-drained",7.1,19,50,419,70,High,Soybean,Madhya Pradesh,Bhopal,Wheat,PBW343,320,742,2054
Wheat seed,Lok1,Hybrid,Old,Wheat,Rabi,Loamy,"Balanced sand-silt-clay mix, fertile and well-drained",6.5,19,48,430,57,Low,Soybean,Odisha,Sambalpur,Wheat,HD2967,53,1693,3079
Rice seed,MTU7029,HYV,Old,Rice,Kharif,Clayey,"Fine clay particles, high water retention, puddled/wetland structure",6.1,29,75,1266,59,Medium,Fallow,Odisha,Cuttack,Rice,BPT5204,359,618,3162
Maize seed,HQPM1,Hybrid,Old,Maize,Kharif,Sandy Loam,"Loose sandy-loam texture, porous and well-aerated",6.8,24,73,640,75,Low,Fallow,Maharashtra,Akola,Maize,Ganga5,387,704,2219
Gram seed,Pusa372,Desi,Old,Gram,Rabi,Loamy,"Balanced sand-silt-clay mix, fertile and well-drained",7.0,21,37,431,36,High,Fallow,Odisha,Balasore,Gram,JG16,220,961,4536
Gram seed,JG11,Hybrid,Fresh,Gram,Rabi,Loamy,"Balanced sand-silt-clay mix, fertile and well-drained",6.4,17,41,485,80,Low,Fallow,Uttar Pradesh,Varanasi,Gram,JG11,161,1075,2138
Bajra seed,RHB121,Desi,Fresh,Bajra,Kharif,Sandy,"Light sandy soil, fast drainage, low water retention",6.2,27,60,385,30,Medium,Gram,Odisha,Sambalpur,Bajra,ICTP8203,68,830,4441
Gram seed,JG11,Desi,Old,Gram,Rabi,Loamy,"Balanced sand-silt-clay mix, fertile and well-drained",7.2,24,40,349,43,High,Fallow,Madhya Pradesh,Ujjain,Gram,JG16,76,1632,2465
Mustard seed,Varuna,HYV,Fresh,Mustard,Rabi,Alluvial,River-deposited fertile alluvium with good organic matter,6.7,11,44,320,68,High,Wheat,Chhattisgarh,Bilaspur,Mustard,Pusa Bold,279,1251,4456
Maize seed,DHM117,Desi,Fresh,Maize,Kharif,Sandy Loam,"Loose sandy-loam texture, porous and well-aerated",5.9,28,70,531,60,Low,Rice,Uttar Pradesh,Meerut,Maize,Ganga5,411,662,3546
Cotton seed,RCH2,Desi,Fresh,Cotton,Kharif,Black,"Deep black cotton soil, high clay content, strong moisture retention",7.0,32,51,633,72,Medium,Fallow,Madhya Pradesh,Bhopal,Cotton,Bunny Bt,104,222,2832
Wheat seed,Lok1,HYV,Old,Wheat,Rabi,Loamy,"Balanced sand-silt-clay mix, fertile and well-drained",6.7,17,56,609,66,Medium,Soybean,Rajasthan,Ajmer,Wheat,PBW343,115,1145,3495
Wheat seed,HD3086,Desi,Fresh,Wheat,Rabi,Loamy,"Balanced sand-silt-clay mix, fertile and well-drained",6.8,15,70,602,70,High,Maize,Punjab,Patiala,Wheat,PBW343,368,1329,4963
Maize seed,DHM117,Hybrid,Fresh,Maize,Kharif,Sandy Loam,"Loose sandy-loam texture, porous and well-aerated",6.8,28,69,769,47,Medium,Rice,Haryana,Sirsa,Maize,DHM117,265,365,4203
Wheat seed,PBW343,Hybrid,Fresh,Wheat,Rabi,Loamy,"Balanced sand-silt-clay mix, fertile and well-drained",6.9,20,65,616,43,High,Soybean,Haryana,Hisar,Wheat,HD2967,210,827,3398
Gram seed,Pusa372,Desi,Fresh,Gram,Rabi,Loamy,"Balanced sand-silt-clay mix, fertile and well-drained",6.6,15,55,493,65,High,Rice,Maharashtra,Pune,Gram,JG11,86,593,1732
Rice seed,IR64,HYV,Old,Rice,Kharif,Clayey,"Fine clay particles, high water retention, puddled/wetland structure",6.4,32,90,1239,59,High,Fallow,Odisha,Balasore,Rice,BPT5204,142,1978,4853
Maize seed,HQPM1,Hybrid,Old,Maize,Kharif,Sandy Loam,"Loose sandy-loam texture, porous and well-aerated",6.3,21,52,550,36,High,Rice,Chhattisgarh,Raipur,Maize,PMH1,244,1473,3001
Rice seed,Swarna,Desi,Old,Rice,Kharif,Clayey,"Fine clay particles, high water retention, puddled/wetland structure",5.9,32,87,1361,81,Medium,Pulses,Odisha,Sambalpur,Rice,MTU7029,254,1329,3921
Cotton seed,Bt Cotton,HYV,Fresh,Cotton,Kharif,Black,"Deep black cotton soil, high clay content, strong moisture retention",6.4,25,58,689,33,Medium,Groundnut,Andhra Pradesh,Anantapur,Cotton,Bollgard,108,1774,2873
Cotton seed,Bunny Bt,Desi,Fresh,Cotton,Kharif,Black,"Deep black cotton soil, high clay content, strong moisture retention",6.8,32,70,671,57,High,Fallow,Telangana,Hyderabad,Cotton,Bollgard,77,1202,1630
Wheat seed,PBW343,HYV,Fresh,Wheat,Rabi,Loamy,"Balanced sand-silt-clay mix, fertile and well-drained",6.9,23,70,401,62,High,Maize,Gujarat,Ahmedabad,Wheat,HD2967,404,1520,4895
Mustard seed,Pusa Bold,Desi,Old,Mustard,Rabi,Alluvial,River-deposited fertile alluvium with good organic matter,6.3,11,53,422,41,High,Bajra,Haryana,Rohtak,Mustard,RH30,328,517,1855
Bajra seed,RHB121,Desi,Old,Bajra,Kharif,Sandy,"Light sandy soil, fast drainage, low water retention",6.9,30,39,596,81,High,Mustard,Karnataka,Raichur,Bajra,HHB67,476,365,3195
Maize seed,HQPM1,Hybrid,Old,Maize,Kharif,Sandy Loam,"Loose sandy-loam texture, porous and well-aerated",6.0,20,70,685,41,Low,Wheat,Punjab,Amritsar,Maize,PMH1,392,686,3082
Rice seed,IR64,HYV,Fresh,Rice,Kharif,Clayey,"Fine clay particles, high water retention, puddled/wetland structure",5.8,24,87,1129,45,High,Fallow,Madhya Pradesh,Ujjain,Rice,BPT5204,391,671,2948
Rice seed,BPT5204,Desi,Fresh,Rice,Kharif,Clayey,"Fine clay particles, high water retention, puddled/wetland structure",6.6,32,82,1294,65,High,Pulses,Bihar,Patna,Rice,MTU7029,77,1168,3586
Soybean seed,NRC37,HYV,Fresh,Soybean,Kharif,Black,"Deep black cotton soil, high clay content, strong moisture retention",7.2,26,54,664,74,Low,Wheat,Gujarat,Rajkot,Soybean,JS335,276,1932,4122
Gram seed,JG11,Desi,Old,Gram,Rabi,Loamy,"Balanced sand-silt-clay mix, fertile and well-drained",7.4,22,44,351,43,High,Soybean,Rajasthan,Kota,Gram,Pusa372,464,932,4339
Soybean seed,JS9560,Hybrid,Old,Soybean,Kharif,Black,"Deep black cotton soil, high clay content, strong moisture retention",7.0,30,69,645,46,High,Fallow,West Bengal,Malda,Soybean,NRC37,100,1315,4158
Wheat seed,Lok1,Desi,Fresh,Wheat,Rabi,Loamy,"Balanced sand-silt-clay mix, fertile and well-drained",7.1,18,69,620,39,Low,Maize,Telangana,Hyderabad,Wheat,HD3086,180,1193,2798
Soybean seed,NRC37,Hybrid,Fresh,Soybean,Kharif,Black,"Deep black cotton soil, high clay content, strong moisture retention",7.4,21,60,707,85,High,Cotton,Uttar Pradesh,Varanasi,Soybean,JS335,337,295,4394
Soybean seed,JS335,Hybrid,Old,Soybean,Kharif,Black,"Deep black cotton soil, high clay content, strong moisture retention",7.3,29,70,597,36,Medium,Cotton,West Bengal,Kolkata,Soybean,JS335,142,990,3487
Mustard seed,Pusa Bold,HYV,Fresh,Mustard,Rabi,Alluvial,River-deposited fertile alluvium with good organic matter,6.9,21,46,451,80,High,Wheat,Maharashtra,Pune,Mustard,RH30,419,1917,2816
Maize seed,HQPM1,Desi,Fresh,Maize,Kharif,Sandy Loam,"Loose sandy-loam texture, porous and well-aerated",6.1,26,62,699,52,Medium,Rice,Karnataka,Dharwad,Maize,DHM117,265,394,2408
Rice seed,Swarna,Hybrid,Old,Rice,Kharif,Clayey,"Fine clay particles, high water retention, puddled/wetland structure",6.1,26,87,1290,53,Low,Pulses,Madhya Pradesh,Jabalpur,Rice,BPT5204,245,431,1981
Mustard seed,Pusa Bold,Desi,Old,Mustard,Rabi,Alluvial,River-deposited fertile alluvium with good organic matter,6.9,13,51,388,45,High,Fallow,Chhattisgarh,Durg,Mustard,Pusa Bold,152,1003,2023
Maize seed,PMH1,Hybrid,Old,Maize,Kharif,Sandy Loam,"Loose sandy-loam texture, porous and well-aerated",6.4,26,53,780,63,High,Rice,Telangana,Hyderabad,Maize,HQPM1,395,279,4017
Mustard seed,RH30,HYV,Old,Mustard,Rabi,Alluvial,River-deposited fertile alluvium with good organic matter,7.2,22,48,493,62,High,Bajra,Bihar,Bhagalpur,Mustard,RH30,457,390,4614
Soybean seed,JS335,HYV,Fresh,Soybean,Kharif,Black,"Deep black cotton soil, high clay content, strong moisture retention",6.3,20,66,645,75,High,Wheat,Chhattisgarh,Durg,Soybean,NRC37,246,1319,2070
Gram seed,JG16,Hybrid,Fresh,Gram,Rabi,Loamy,"Balanced sand-silt-clay mix, fertile and well-drained",7.1,16,43,362,65,Medium,Soybean,Madhya Pradesh,Bhopal,Gram,Pusa372,148,1658,2843
Wheat seed,HD2967,HYV,Old,Wheat,Rabi,Loamy,"Balanced sand-silt-clay mix, fertile and well-drained",6.6,25,63,409,25,Medium,Soybean,Andhra Pradesh,Anantapur,Wheat,HD2967,497,584,4529
Cotton seed,Bt Cotton,Desi,Old,Cotton,Kharif,Black,"Deep black cotton soil, high clay content, strong moisture retention",6.3,31,50,727,31,Medium,Soybean,Punjab,Bathinda,Cotton,Bunny Bt,115,482,1784
Wheat seed,Lok1,Hybrid,Fresh,Wheat,Rabi,Loamy,"Balanced sand-silt-clay mix, fertile and well-drained",7.2,19,50,476,63,High,Soybean,Madhya Pradesh,Bhopal,Wheat,Lok1,185,991,2765
Cotton seed,Bollgard,Hybrid,Fresh,Cotton,Kharif,Black,"Deep black cotton soil, high clay content, strong moisture retention",7.3,25,57,833,69,High,Groundnut,Chhattisgarh,Raipur,Cotton,Bunny Bt,354,1262,4555
Cotton seed,Bunny Bt,HYV,Fresh,Cotton,Kharif,Black,"Deep black cotton soil, high clay content, strong moisture retention",7.5,32,68,793,47,Medium,Soybean,Tamil Nadu,Madurai,Cotton,Bt Cotton,71,1321,1527
Rice seed,MTU7029,Hybrid,Old,Rice,Kharif,Clayey,"Fine clay particles, high water retention, puddled/wetland structure",6.6,31,76,1247,84,Low,Wheat,Bihar,Gaya,Rice,BPT5204,148,1380,2526
Cotton seed,Bt Cotton,Hybrid,Fresh,Cotton,Kharif,Black,"Deep black cotton soil, high clay content, strong moisture retention",7.4,24,53,621,34,Medium,Fallow,Madhya Pradesh,Ujjain,Cotton,Bollgard,78,1465,2101
Gram seed,Pusa372,HYV,Fresh,Gram,Rabi,Loamy,"Balanced sand-silt-clay mix, fertile and well-drained",6.3,25,53,331,36,Low,Soybean,Tamil Nadu,Thanjavur,Gram,Pusa372,286,108,1907
Gram seed,Pusa372,Hybrid,Old,Gram,Rabi,Loamy,"Balanced sand-silt-clay mix, fertile and well-drained",7.4,25,41,370,68,High,Fallow,Gujarat,Junagadh,Gram,JG11,150,1544,1942
Soybean seed,JS335,HYV,Fresh,Soybean,Kharif,Black,"Deep black cotton soil, high clay content, strong moisture retention",6.5,23,67,668,35,Low,Fallow,Maharashtra,Pune,Soybean,NRC37,333,488,4190
Bajra seed,ICTP8203,HYV,Old,Bajra,Kharif,Sandy,"Light sandy soil, fast drainage, low water retention",5.7,30,45,508,80,Medium,Fallow,Gujarat,Junagadh,Bajra,RHB121,469,367,3053
Soybean seed,JS9560,Hybrid,Fresh,Soybean,Kharif,Black,"Deep black cotton soil, high clay content, strong moisture retention",6.3,24,62,821,40,High,Cotton,Karnataka,Mysuru,Soybean,NRC37,444,1709,2812
Gram seed,JG11,Hybrid,Old,Gram,Rabi,Loamy,"Balanced sand-silt-clay mix, fertile and well-drained",6.6,20,51,488,25,High,Soybean,Andhra Pradesh,Guntur,Gram,JG11,376,1236,2864
Soybean seed,JS9560,Desi,Old,Soybean,Kharif,Black,"Deep black cotton soil, high clay content, strong moisture retention",6.8,21,51,818,25,High,Fallow,Chhattisgarh,Durg,Soybean,JS9560,400,684,3651
